liquidity_rank,stock_id,stock_name,industry_category,type,close,volume,volume_thousand_shares,amount,amount_million,transaction,as_of_date
73,6116,彩晶,光電業,twse,17.1,289351189,289351.19,4861840165,4861.84,62259,2026-05-30
74,6415,矽力*-KY,電子工業,twse,600.0,7824788,7824.79,4698874043,4698.87,11679,2026-05-30
75,3450,聯鈞,其他電子業,twse,490.5,9193909,9193.91,4479242229,4479.24,13294,2026-05-30
76,2618,長榮航,航運業,twse,36.05,122963731,122963.73,4456937582,4456.94,29285,2026-05-30
77,3583,辛耘,電子工業,twse,867.0,4881211,4881.21,4398604374,4398.6,10441,2026-05-30
78,2912,統一超,貿易百貨,twse,214.0,20276808,20276.81,4325868051,4325.87,10030,2026-05-30
79,2367,燿華,電子工業,twse,68.1,63669611,63669.61,4319981523,4319.98,38331,2026-05-30
80,2059,川湖,電子零組件業,twse,5065.0,839930,839.93,4236585170,4236.59,4997,2026-05-30
81,3533,嘉澤,電子工業,twse,2650.0,1613542,1613.54,4236333080,4236.33,3512,2026-05-30
82,2379,瑞昱,半導體業,twse,580.0,7108843,7108.84,4160248692,4160.25,7454,2026-05-30
83,8110,華東,電子工業,twse,64.9,62297493,62297.49,4080136127,4080.14,37446,2026-05-30
84,2312,金寶,其他電子業,twse,38.95,102606028,102606.03,3984405369,3984.41,49085,2026-05-30
85,2880,華南金,金融保險,twse,30.5,129129440,129129.44,3958196583,3958.2,23947,2026-05-30
86,2404,漢唐,其他電子業,twse,1155.0,3394138,3394.14,3950206060,3950.21,10336,2026-05-30
87,1605,華新,電器電纜,twse,38.75,102863649,102863.65,3925201873,3925.2,40154,2026-05-30
88,2412,中華電,通信網路業,twse,137.0,28220973,28220.97,3876140630,3876.14,6510,2026-05-30
89,3034,聯詠,半導體業,twse,477.0,7952543,7952.54,3803469228,3803.47,7310,2026-05-30
90,2884,玉山金,金融保險,twse,30.95,119510199,119510.2,3695885900,3695.89,18211,2026-05-30
91,3673,TPK-KY,光電業,twse,86.3,41007388,41007.39,3426042517,3426.04,23278,2026-05-30
92,4938,和碩,電子工業,twse,88.5,38620432,38620.43,3396649846,3396.65,19525,2026-05-30
93,1519,華城,電機機械,twse,874.0,3902585,3902.58,3348120813,3348.12,8708,2026-05-30
94,1326,台化,塑膠工業,twse,49.9,67387982,67387.98,3298060868,3298.06,30855,2026-05-30
95,3016,嘉晶,半導體業,twse,138.0,23100390,23100.39,3234756238,3234.76,16588,2026-05-30
96,4906,正文,通信網路業,twse,49.7,64823151,64823.15,3184835110,3184.84,34629,2026-05-30
97,2049,上銀,電機機械,twse,389.0,7950787,7950.79,3127175056,3127.18,10322,2026-05-30
98,6139,亞翔,其他電子業,twse,784.0,3939440,3939.44,3066166240,3066.17,7405,2026-05-30
99,6257,矽格,半導體業,twse,227.5,13335409,13335.41,3064169640,3064.17,11913,2026-05-30
100,8261,富鼎,半導體業,twse,181.0,16747454,16747.45,3032660108,3032.66,21275,2026-05-30
101,2892,第一金,金融保險,twse,27.45,109953818,109953.82,3015338735,3015.34,13651,2026-05-30
102,0056,元大高股息,ETF,twse,50.2,58208526,58208.53,2906715341,2906.72,27853,2026-05-30
103,8996,高力,電機機械,twse,1090.0,2618890,2618.89,2870628120,2870.63,4927,2026-05-30
104,3035,智原,半導體業,twse,207.0,13700926,13700.93,2868647169,2868.65,13585,2026-05-30
105,1216,統一,食品工業,twse,71.8,38842511,38842.51,2800021674,2800.02,10473,2026-05-30
106,6282,康舒,電子零組件業,twse,59.9,46988603,46988.6,2777926592,2777.93,28342,2026-05-30
107,2351,順德,半導體業,twse,207.5,12661395,12661.4,2669417709,2669.42,8946,2026-05-30
108,2464,盟立,其他電子業,twse,184.5,14603817,14603.82,2645184576,2645.18,12346,2026-05-30
109,2353,宏碁,電子工業,twse,35.2,75474874,75474.87,2631696290,2631.7,21198,2026-05-30
110,8112,至上,電子通路業,twse,88.6,29849104,29849.1,2629741228,2629.74,19691,2026-05-30
111,1717,長興,化學工業,twse,81.2,31906302,31906.3,2629242349,2629.24,20840,2026-05-30
112,6706,惠特,光電業,twse,205.5,12521258,12521.26,2576982982,2576.98,10144,2026-05-30
113,2451,創見,半導體業,twse,338.0,7479786,7479.79,2527564908,2527.56,7545,2026-05-30
